Date,volume,opens,close
"Mar 06, 2020","40,826,885,651","9,078.31","9,122.55"
"Mar 05, 2020","39,698,054,597","8,760.29","9,078.76"
"Mar 04, 2020","34,746,706,368","8,788.54","8,755.25"
"Mar 03, 2020","42,386,715,821","8,865.39","8,787.79"
"Mar 02, 2020","42,857,674,409","8,563.26","8,869.67"
"Mar 01, 2020","35,349,164,300","8,599.76","8,562.45"
"Feb 29, 2020","35,792,392,544","8,671.21","8,599.51"
"Feb 28, 2020","44,605,450,443","8,788.73","8,672.46"
"Feb 27, 2020","45,470,195,695","8,825.09","8,784.49"
"Feb 26, 2020","50,420,050,762","9,338.29","8,820.52"
"Feb 25, 2020","42,515,259,129","9,651.31","9,341.71"
"Feb 24, 2020","45,080,496,648","9,921.58","9,650.17"
"Feb 23, 2020","41,185,185,761","9,663.32","9,924.52"
"Feb 22, 2020","35,838,025,154","9,687.71","9,663.18"
"Feb 21, 2020","40,930,547,513","9,611.78","9,686.44"
"Feb 20, 2020","44,925,260,237","9,629.33","9,608.48"
"Feb 19, 2020","46,992,019,710","10,143.80","9,633.39"
"Feb 18, 2020","47,271,023,953","9,691.23","10,142.00"
"Feb 17, 2020","45,998,298,413","9,936.56","9,690.14"
"Feb 16, 2020","43,374,780,305","9,889.18","9,934.43"
"Feb 15, 2020","43,865,054,831","10,313.86","9,889.42"
"Feb 14, 2020","43,338,264,162","10,211.55","10,312.12"
"Feb 13, 2020","49,356,071,373","10,323.96","10,214.38"
"Feb 12, 2020","43,444,303,830","10,202.39","10,326.05"
"Feb 11, 2020","37,648,059,389","9,855.89","10,208.24"
"Feb 10, 2020","39,386,548,075","10,115.56","9,856.61"
"Feb 09, 2020","35,807,884,663","9,863.89","10,116.67"
"Feb 08, 2020","35,172,043,762","9,793.07","9,865.12"
"Feb 07, 2020","34,522,718,159","9,726.00","9,795.94"
"Feb 06, 2020","37,628,823,716","9,617.82","9,729.80"
"Feb 05, 2020","35,222,060,874","9,183.42","9,613.42"
"Feb 04, 2020","29,893,183,716","9,292.84","9,180.96"
"Feb 03, 2020","30,934,096,509","9,344.68","9,293.52"
"Feb 02, 2020","30,835,736,946","9,389.82","9,344.37"
